Unidade da Federação;janeiro 2019;fevereiro 2019;março 2019;abril 2019;maio 2019;junho 2019;julho 2019;agosto 2019;setembro 2019;outubro 2019;novembro 2019;dezembro 2019;janeiro 2020;fevereiro 2020;março 2020;abril 2020;maio 2020;junho 2020;julho 2020;agosto 2020;setembro 2020;outubro 2020;novembro 2020;dezembro 2020;janeiro 2021;fevereiro 2021;março 2021;abril 2021;maio 2021
Rondônia;916835;916835;916835;1081749;1081749;1081749;1081749;1081749;1081749;1201219;1201219;1201219;1162093;1162093;1162093;1358577;1358577;1358577;1358577;1358577;1358577;1356715;1356715;1348784;1316319;1316319;1316319;1316319;1316319
Acre;1410;1410;1410;1410;1410;1410;1410;1410;1410;1410;1410;1410;1410;1410;1410;8235;8235;8235;8235;8235;8235;8235;10380;10380;18778;18778;20253;22042;22042
Amazonas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Roraima;54470;54470;54470;54470;54470;54470;54470;54470;54470;54470;54470;54470;53516;53516;53516;53516;53516;53516;53516;53516;53516;53516;53516;53516;53198;53198;53198;53198;53198
Pará;1957087;1620349;1620945;1620945;1620945;1711539;1711959;1711959;1719709;1719709;1730779;1780569;1702046;1811269;1855025;1855025;1855025;1855025;1861346;1861346;1861346;1861346;1861616;1861616;1916380;1916380;2188950;2188950;2188950
Amapá;59500;59500;59500;59500;57500;57500;57500;57500;48050;48050;48050;48050;53500;53500;53500;53500;56989;59569;59569;59569;56207;50421;50421;47818;52650;40100;25788;12705;12705
Tocantins;2691155;2691155;2691155;2747777;2747777;2747777;2597921;2585960;2601282;2614410;2617984;2617984;2892637;2884588;2884588;2884588;2884588;2884588;3053809;3050483;3050483;3051664;3051664;3055467;2863204;2863204;2863204;2863204;2863204
Maranhão;2798844;2719443;2833166;2833189;2808110;2845110;2857427;2861818;2841480;2841480;2844806;2844806;3071416;3071416;3036698;3042292;3042292;3041122;3052717;3060278;3058058;3058058;3058058;3058058;3147239;3147239;3173618;3172599;3167246
Piauí;2566297;2566297;2377884;2377884;2377884;2377884;2377884;2324775;2324775;2324775;2325951;2325951;2562143;2562143;2520288;2520288;2520288;2520288;2447892;2447892;2447892;2447892;2447620;2447620;2830170;2830170;2830170;2745215;2745215
Ceará;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1350;1350;1350;1350;1350;1275;1275;1275;1275;2400
